P,datetime
-0.06947366,25/4/2018 6:00
-0.06502094,25/4/2018 6:03
-0.06063846,25/4/2018 6:06
-0.0396949,25/4/2018 6:09
-0.024618784,25/4/2018 6:12
-0.020808524,25/4/2018 6:15
0.0002733457,25/4/2018 6:18
0.017653814,25/4/2018 6:21
0.037257914,25/4/2018 6:24
0.04631301,25/4/2018 6:27
0.053229112,25/4/2018 6:30
0.08280739,25/4/2018 6:33
0.118535616,25/4/2018 6:36
0.12089995,25/4/2018 6:39
0.1591352,25/4/2018 6:42
0.17438366,25/4/2018 6:45
0.20277452,25/4/2018 6:48
0.25811666,25/4/2018 6:51
0.27930695,25/4/2018 6:54
0.3095879,25/4/2018 6:57
0.3159739,25/4/2018 7:00
0.35496187,25/4/2018 7:03
0.403073,25/4/2018 7:06
0.44445968,25/4/2018 7:09
0.4760237,25/4/2018 7:12
0.5278057,25/4/2018 7:15
0.5215541,25/4/2018 7:18
0.47615263,25/4/2018 7:21
0.39924857,25/4/2018 7:24
0.3228047,25/4/2018 7:27
0.12464499,25/4/2018 7:30
0.12297241,25/4/2018 7:33
0.10981277,25/4/2018 7:36
0.12793845,25/4/2018 7:39
0.13475573,25/4/2018 7:42
0.17706999,25/4/2018 7:45
0.22815663,25/4/2018 7:48
0.26442567,25/4/2018 7:51
0.3408571,25/4/2018 7:54
0.35571003,25/4/2018 7:57
0.1793715,25/4/2018 8:00
0.065062605,25/4/2018 8:03
0.0663628,25/4/2018 8:06
0.2010125,25/4/2018 8:09
0.26194635,25/4/2018 8:12
0.35530296,25/4/2018 8:15
0.38632682,25/4/2018 8:18
0.4332643,25/4/2018 8:21
0.5455812,25/4/2018 8:24
0.7720165,25/4/2018 8:27
1.4233298,25/4/2018 8:30
1.2010112,25/4/2018 8:33
1.2561867,25/4/2018 8:36
0.9856003,25/4/2018 8:39
0.6961053,25/4/2018 8:42
0.8328983,25/4/2018 8:45
0.9604571,25/4/2018 8:48
1.0266383,25/4/2018 8:51
1.2052814,25/4/2018 8:54
2.4415915,25/4/2018 8:57
2.3875074,25/4/2018 9:00
3.269696,25/4/2018 9:03
3.0952432,25/4/2018 9:06
3.0824566,25/4/2018 9:09
3.0632331,25/4/2018 9:12
3.333046,25/4/2018 9:15
3.3941493,25/4/2018 9:18
3.4034746,25/4/2018 9:21
4.1026707,25/4/2018 9:24
4.187717,25/4/2018 9:27
4.117407,25/4/2018 9:30
4.028991,25/4/2018 9:33
3.5137315,25/4/2018 9:36
3.240942,25/4/2018 9:39
3.3066545,25/4/2018 9:42
3.1315837,25/4/2018 9:45
2.965768,25/4/2018 9:48
2.9150124,25/4/2018 9:51
2.9968693,25/4/2018 9:54
3.0605972,25/4/2018 9:57
3.6199536,25/4/2018 10:00
4.2662134,25/4/2018 10:03
3.931291,25/4/2018 10:06
3.5957134,25/4/2018 10:09
4.382677,25/4/2018 10:12
4.639104,25/4/2018 10:15
4.2346725,25/4/2018 10:18
4.709882,25/4/2018 10:21
4.3854284,25/4/2018 10:24
4.4652247,25/4/2018 10:27
4.522193,25/4/2018 10:30
4.538775,25/4/2018 10:33
4.53425,25/4/2018 10:36
4.0854445,25/4/2018 10:39
3.9529366,25/4/2018 10:42
3.7910376,25/4/2018 10:45
3.9786003,25/4/2018 10:48
3.3093448,25/4/2018 10:51
2.766782,25/4/2018 10:54
2.8277671,25/4/2018 10:57
3.1386356,25/4/2018 11:00
3.358734,25/4/2018 11:03
3.0237334,25/4/2018 11:06
2.5599525,25/4/2018 11:09
2.8043973,25/4/2018 11:12
2.932656,25/4/2018 11:15
2.9327707,25/4/2018 11:18
2.4623759,25/4/2018 11:21
2.4350448,25/4/2018 11:24
3.167195,25/4/2018 11:27
3.6530414,25/4/2018 11:30
3.77008,25/4/2018 11:33
3.670313,25/4/2018 11:36
3.5767171,25/4/2018 11:39
3.6096578,25/4/2018 11:42
3.6173148,25/4/2018 11:45
3.6980324,25/4/2018 11:48
3.7566216,25/4/2018 11:51
3.901095,25/4/2018 11:54
4.1708765,25/4/2018 11:57
4.4307995,25/4/2018 12:00
4.37819,25/4/2018 12:03
4.3194356,25/4/2018 12:06
4.1718063,25/4/2018 12:09
3.6908543,25/4/2018 12:12
4.0685487,25/4/2018 12:15
3.034038,25/4/2018 12:18
4.072123,25/4/2018 12:21
4.212376,25/4/2018 12:24
4.0338664,25/4/2018 12:27
2.883409,25/4/2018 12:30
3.9558587,25/4/2018 12:33
3.9195523,25/4/2018 12:36
3.80486,25/4/2018 12:39
3.7835672,25/4/2018 12:42
3.7454548,25/4/2018 12:45
4.0435524,25/4/2018 12:48
4.2519627,25/4/2018 12:51
3.2912621,25/4/2018 12:54
3.7396564,25/4/2018 12:57
4.310714,25/4/2018 13:00
4.5874763,25/4/2018 13:03
4.298669,25/4/2018 13:06
4.2910557,25/4/2018 13:09
4.204009,25/4/2018 13:12
4.411244,25/4/2018 13:15
4.202095,25/4/2018 13:18
4.0004754,25/4/2018 13:21
3.979548,25/4/2018 13:24
4.0306296,25/4/2018 13:27
4.120389,25/4/2018 13:30
4.335575,25/4/2018 13:33
4.3967485,25/4/2018 13:36
4.305175,25/4/2018 13:39
4.28404,25/4/2018 13:42
4.186144,25/4/2018 13:45
4.188049,25/4/2018 13:48
4.2068353,25/4/2018 13:51
3.8855243,25/4/2018 13:54
3.8696835,25/4/2018 13:57
3.9129372,25/4/2018 14:00
4.1365647,25/4/2018 14:03
