P,datetime
-0.08779109,25/4/2018 6:00
-0.085453585,25/4/2018 6:03
-0.08272165,25/4/2018 6:06
-0.06772669,25/4/2018 6:09
-0.05690041,25/4/2018 6:12
-0.05486897,25/4/2018 6:15
-0.03875815,25/4/2018 6:18
-0.025658283,25/4/2018 6:21
-0.008677471,25/4/2018 6:24
-0.002178912,25/4/2018 6:27
0.016596207,25/4/2018 6:30
0.03716367,25/4/2018 6:33
0.06227308,25/4/2018 6:36
0.057960197,25/4/2018 6:39
0.09533919,25/4/2018 6:42
0.10864194,25/4/2018 6:45
0.14190482,25/4/2018 6:48
0.18834828,25/4/2018 6:51
0.22094339,25/4/2018 6:54
0.24361102,25/4/2018 6:57
0.25161898,25/4/2018 7:00
0.27923888,25/4/2018 7:03
0.32829866,25/4/2018 7:06
0.37148228,25/4/2018 7:09
0.3969981,25/4/2018 7:12
0.44726294,25/4/2018 7:15
0.45415178,25/4/2018 7:18
0.40097243,25/4/2018 7:21
0.33917707,25/4/2018 7:24
0.2611108,25/4/2018 7:27
0.072295904,25/4/2018 7:30
0.069127016,25/4/2018 7:33
0.055302657,25/4/2018 7:36
0.06805828,25/4/2018 7:39
0.07705142,25/4/2018 7:42
0.1198081,25/4/2018 7:45
0.17309327,25/4/2018 7:48
0.2090569,25/4/2018 7:51
0.28854465,25/4/2018 7:54
0.29407874,25/4/2018 7:57
0.121097386,25/4/2018 8:00
0.013894383,25/4/2018 8:03
0.02334368,25/4/2018 8:06
0.14084546,25/4/2018 8:09
0.20190191,25/4/2018 8:12
0.29752797,25/4/2018 8:15
0.32961544,25/4/2018 8:18
0.37876618,25/4/2018 8:21
0.4907489,25/4/2018 8:24
0.6872022,25/4/2018 8:27
1.2748567,25/4/2018 8:30
1.0843955,25/4/2018 8:33
1.1650116,25/4/2018 8:36
0.9027149,25/4/2018 8:39
0.6256892,25/4/2018 8:42
0.7413345,25/4/2018 8:45
0.8660305,25/4/2018 8:48
0.9290198,25/4/2018 8:51
1.044967,25/4/2018 8:54
2.267286,25/4/2018 8:57
2.2133496,25/4/2018 9:00
3.0732458,25/4/2018 9:03
2.914356,25/4/2018 9:06
2.8421328,25/4/2018 9:09
2.9555545,25/4/2018 9:12
3.1215904,25/4/2018 9:15
3.2598565,25/4/2018 9:18
3.3512058,25/4/2018 9:21
3.8924534,25/4/2018 9:24
3.984666,25/4/2018 9:27
3.925761,25/4/2018 9:30
3.86707,25/4/2018 9:33
3.538809,25/4/2018 9:36
3.1191397,25/4/2018 9:39
3.1460602,25/4/2018 9:42
2.978081,25/4/2018 9:45
2.787675,25/4/2018 9:48
2.7811067,25/4/2018 9:51
2.852871,25/4/2018 9:54
2.9187055,25/4/2018 9:57
3.5654497,25/4/2018 10:00
4.0208144,25/4/2018 10:03
3.745124,25/4/2018 10:06
3.4265702,25/4/2018 10:09
4.1224556,25/4/2018 10:12
4.3964467,25/4/2018 10:15
4.0978837,25/4/2018 10:18
4.5092545,25/4/2018 10:21
4.196514,25/4/2018 10:24
4.246656,25/4/2018 10:27
4.308657,25/4/2018 10:30
4.324373,25/4/2018 10:33
4.3016973,25/4/2018 10:36
3.895983,25/4/2018 10:39
3.7792232,25/4/2018 10:42
3.619643,25/4/2018 10:45
3.8618143,25/4/2018 10:48
3.08805,25/4/2018 10:51
2.653359,25/4/2018 10:54
2.7160912,25/4/2018 10:57
2.9754424,25/4/2018 11:00
3.1305618,25/4/2018 11:03
2.888372,25/4/2018 11:06
2.405011,25/4/2018 11:09
