P,datetime
0.06340126,25/4/2018 6:00
0.02863498,25/4/2018 6:03
0.0327121,25/4/2018 6:06
0.061181117,25/4/2018 6:09
0.060504407,25/4/2018 6:12
0.08089866,25/4/2018 6:15
0.09088178,25/4/2018 6:18
0.101014875,25/4/2018 6:21
0.1371469,25/4/2018 6:24
0.13055655,25/4/2018 6:27
0.15435846,25/4/2018 6:30
0.18305948,25/4/2018 6:33
0.20696753,25/4/2018 6:36
0.20031442,25/4/2018 6:39
0.24028184,25/4/2018 6:42
0.24890886,25/4/2018 6:45
0.2807964,25/4/2018 6:48
0.2926438,25/4/2018 6:51
0.35436276,25/4/2018 6:54
0.37247846,25/4/2018 6:57
0.37905404,25/4/2018 7:00
0.409714,25/4/2018 7:03
0.45617113,25/4/2018 7:06
0.48250878,25/4/2018 7:09
0.5379879,25/4/2018 7:12
0.5722853,25/4/2018 7:15
0.5669296,25/4/2018 7:18
0.51882625,25/4/2018 7:21
0.4631889,25/4/2018 7:24
0.37289312,25/4/2018 7:27
0.21694678,25/4/2018 7:30
0.20926675,25/4/2018 7:33
0.18980697,25/4/2018 7:36
0.2140696,25/4/2018 7:39
0.2155182,25/4/2018 7:42
0.27505717,25/4/2018 7:45
0.30811247,25/4/2018 7:48
0.3365983,25/4/2018 7:51
0.4094319,25/4/2018 7:54
0.42469487,25/4/2018 7:57
0.259155,25/4/2018 8:00
0.15319304,25/4/2018 8:03
0.16328453,25/4/2018 8:06
0.27098846,25/4/2018 8:09
0.3314237,25/4/2018 8:12
0.42371693,25/4/2018 8:15
0.45821834,25/4/2018 8:18
0.52688813,25/4/2018 8:21
0.6378276,25/4/2018 8:24
0.85222733,25/4/2018 8:27
1.4226263,25/4/2018 8:30
1.218186,25/4/2018 8:33
1.316867,25/4/2018 8:36
1.0477967,25/4/2018 8:39
0.77344215,25/4/2018 8:42
0.9028355,25/4/2018 8:45
1.0339355,25/4/2018 8:48
1.1080264,25/4/2018 8:51
1.1681658,25/4/2018 8:54
2.5605774,25/4/2018 8:57
2.5330439,25/4/2018 9:00
3.2879364,25/4/2018 9:03
3.1700351,25/4/2018 9:06
3.146389,25/4/2018 9:09
3.2832427,25/4/2018 9:12
3.392113,25/4/2018 9:15
3.5118315,25/4/2018 9:18
3.5491974,25/4/2018 9:21
4.187918,25/4/2018 9:24
4.3400326,25/4/2018 9:27
4.186458,25/4/2018 9:30
4.074078,25/4/2018 9:33
3.625961,25/4/2018 9:36
3.447462,25/4/2018 9:39
3.4701254,25/4/2018 9:42
3.3407912,25/4/2018 9:45
3.157481,25/4/2018 9:48
3.050533,25/4/2018 9:51
3.148913,25/4/2018 9:54
3.2317278,25/4/2018 9:57
3.7253945,25/4/2018 10:00
4.247655,25/4/2018 10:03
3.9473267,25/4/2018 10:06
3.6337907,25/4/2018 10:09
4.36694,25/4/2018 10:12
4.737787,25/4/2018 10:15
4.2756586,25/4/2018 10:18
4.806674,25/4/2018 10:21
4.411656,25/4/2018 10:24
4.4747667,25/4/2018 10:27
4.5449715,25/4/2018 10:30
4.562887,25/4/2018 10:33
4.5498915,25/4/2018 10:36
4.1102,25/4/2018 10:39
3.98811,25/4/2018 10:42
3.855124,25/4/2018 10:45
4.0727215,25/4/2018 10:48
3.4121444,25/4/2018 10:51
2.8832319,25/4/2018 10:54
