P,datetime
-0.13817126,25/4/2018 6:00
-0.13869525,25/4/2018 6:03
-0.13333783,25/4/2018 6:06
-0.10171643,25/4/2018 6:09
-0.08619049,25/4/2018 6:12
-0.076416366,25/4/2018 6:15
-0.04886416,25/4/2018 6:18
-0.02696187,25/4/2018 6:21
0.003549322,25/4/2018 6:24
0.011712662,25/4/2018 6:27
0.017905379,25/4/2018 6:30
0.047239006,25/4/2018 6:33
0.08255159,25/4/2018 6:36
0.08488107,25/4/2018 6:39
0.12270719,25/4/2018 6:42
0.13750918,25/4/2018 6:45
0.16654749,25/4/2018 6:48
0.20230795,25/4/2018 6:51
0.25146556,25/4/2018 6:54
0.28182077,25/4/2018 6:57
0.28763604,25/4/2018 7:00
0.32683873,25/4/2018 7:03
0.38339987,25/4/2018 7:06
0.42342135,25/4/2018 7:09
0.45360568,25/4/2018 7:12
0.5061092,25/4/2018 7:15
0.49899757,25/4/2018 7:18
0.43768272,25/4/2018 7:21
0.373916,25/4/2018 7:24
0.28596467,25/4/2018 7:27
0.0894655,25/4/2018 7:30
0.095513165,25/4/2018 7:33
0.08238948,25/4/2018 7:36
0.09690058,25/4/2018 7:39
0.105141826,25/4/2018 7:42
0.15030862,25/4/2018 7:45
0.21341419,25/4/2018 7:48
0.24923669,25/4/2018 7:51
0.3271046,25/4/2018 7:54
0.33735982,25/4/2018 7:57
0.14709416,25/4/2018 8:00
0.027000573,25/4/2018 8:03
0.036686204,25/4/2018 8:06
0.17974684,25/4/2018 8:09
0.24718381,25/4/2018 8:12
0.34532824,25/4/2018 8:15
0.38763377,25/4/2018 8:18
0.4399491,25/4/2018 8:21
0.5739069,25/4/2018 8:24
0.81947374,25/4/2018 8:27
1.4219915,25/4/2018 8:30
1.2319103,25/4/2018 8:33
1.3165436,25/4/2018 8:36
1.023297,25/4/2018 8:39
0.7318691,25/4/2018 8:42
0.8968476,25/4/2018 8:45
1.0339236,25/4/2018 8:48
1.1025617,25/4/2018 8:51
1.2410768,25/4/2018 8:54
2.5226984,25/4/2018 8:57
2.477277,25/4/2018 9:00
3.2040033,25/4/2018 9:03
3.0641792,25/4/2018 9:06
3.0877244,25/4/2018 9:09
3.1736643,25/4/2018 9:12
3.3225887,25/4/2018 9:15
3.4382079,25/4/2018 9:18
3.4580336,25/4/2018 9:21
4.108142,25/4/2018 9:24
4.248605,25/4/2018 9:27
4.0903063,25/4/2018 9:30
3.9818122,25/4/2018 9:33
3.548989,25/4/2018 9:36
3.3571305,25/4/2018 9:39
3.383485,25/4/2018 9:42
3.2350597,25/4/2018 9:45
3.0810177,25/4/2018 9:48
2.9935434,25/4/2018 9:51
3.0352495,25/4/2018 9:54
3.1452832,25/4/2018 9:57
3.6472702,25/4/2018 10:00
4.169386,25/4/2018 10:03
3.8847282,25/4/2018 10:06
3.5547287,25/4/2018 10:09
4.297245,25/4/2018 10:12
4.647768,25/4/2018 10:15
4.1909685,25/4/2018 10:18
4.7080593,25/4/2018 10:21
4.3119965,25/4/2018 10:24
4.3784666,25/4/2018 10:27
4.4437146,25/4/2018 10:30
4.4574513,25/4/2018 10:33
4.4482284,25/4/2018 10:36
4.017266,25/4/2018 10:39
3.8968792,25/4/2018 10:42
3.765563,25/4/2018 10:45
3.969656,25/4/2018 10:48
3.3177323,25/4/2018 10:51
2.8396218,25/4/2018 10:54
2.8570347,25/4/2018 10:57
3.1212685,25/4/2018 11:00
3.3458588,25/4/2018 11:03
3.009132,25/4/2018 11:06
2.5605552,25/4/2018 11:09
2.8158507,25/4/2018 11:12
2.979243,25/4/2018 11:15
2.9596698,25/4/2018 11:18
2.446477,25/4/2018 11:21
2.4500735,25/4/2018 11:24
3.1811855,25/4/2018 11:27
3.6200795,25/4/2018 11:30
3.7399142,25/4/2018 11:33
3.659441,25/4/2018 11:36
3.5460587,25/4/2018 11:39
3.585554,25/4/2018 11:42
3.598444,25/4/2018 11:45
3.6198235,25/4/2018 11:48
3.7064636,25/4/2018 11:51
3.7960355,25/4/2018 11:54
4.106172,25/4/2018 11:57
4.3535304,25/4/2018 12:00
4.3082924,25/4/2018 12:03
4.254317,25/4/2018 12:06
4.088367,25/4/2018 12:09
3.5204206,25/4/2018 12:12
3.9649334,25/4/2018 12:15
2.9448383,25/4/2018 12:18
3.988445,25/4/2018 12:21
4.1745105,25/4/2018 12:24
3.9633806,25/4/2018 12:27
2.7281866,25/4/2018 12:30
3.8642418,25/4/2018 12:33
3.785077,25/4/2018 12:36
3.692915,25/4/2018 12:39
3.6949582,25/4/2018 12:42
3.6276321,25/4/2018 12:45
3.9580839,25/4/2018 12:48
4.133453,25/4/2018 12:51
3.06619,25/4/2018 12:54
3.5733418,25/4/2018 12:57
4.2201896,25/4/2018 13:00
4.55415,25/4/2018 13:03
4.20944,25/4/2018 13:06
4.1642056,25/4/2018 13:09
4.110433,25/4/2018 13:12
4.2867994,25/4/2018 13:15
4.004033,25/4/2018 13:18
3.8730826,25/4/2018 13:21
3.8414588,25/4/2018 13:24
3.8717868,25/4/2018 13:27
3.9431303,25/4/2018 13:30
4.1793275,25/4/2018 13:33
4.255889,25/4/2018 13:36
4.099713,25/4/2018 13:39
4.0317097,25/4/2018 13:42
3.9690058,25/4/2018 13:45
3.9558115,25/4/2018 13:48
3.8787766,25/4/2018 13:51
3.6883652,25/4/2018 13:54
3.6347792,25/4/2018 13:57
3.6788986,25/4/2018 14:00
3.7440028,25/4/2018 14:03
3.8838813,25/4/2018 14:06
3.7427804,25/4/2018 14:09
3.839239,25/4/2018 14:12
3.7977269,25/4/2018 14:15
3.566112,25/4/2018 14:18
3.211233,25/4/2018 14:21
3.2160282,25/4/2018 14:24
3.1861537,25/4/2018 14:27
3.2204764,25/4/2018 14:30
3.213188,25/4/2018 14:33
3.1695132,25/4/2018 14:36
3.0897381,25/4/2018 14:39
3.155029,25/4/2018 14:42
3.2265782,25/4/2018 14:45
3.17397,25/4/2018 14:48
3.06676,25/4/2018 14:51
3.0034828,25/4/2018 14:54
3.0416913,25/4/2018 14:57
3.1411304,25/4/2018 15:00
3.348845,25/4/2018 15:03
3.3317928,25/4/2018 15:06
3.1387906,25/4/2018 15:09
3.2237906,25/4/2018 15:12
3.2957816,25/4/2018 15:15
3.2515967,25/4/2018 15:18
3.1719158,25/4/2018 15:21
3.0060384,25/4/2018 15:24
3.0527265,25/4/2018 15:27
2.9627144,25/4/2018 15:30
2.6269135,25/4/2018 15:33
2.4816635,25/4/2018 15:36
2.4763157,25/4/2018 15:39
2.4702516,25/4/2018 15:42
2.5613375,25/4/2018 15:45
2.4470062,25/4/2018 15:48
2.4788735,25/4/2018 15:51
2.4541368,25/4/2018 15:54
2.334148,25/4/2018 15:57
2.2918067,25/4/2018 16:00
2.3628867,25/4/2018 16:03
2.358722,25/4/2018 16:06
2.2323642,25/4/2018 16:09
1.9853234,25/4/2018 16:12
1.80786,25/4/2018 16:15
1.3747362,25/4/2018 16:18
1.2928853,25/4/2018 16:21
1.559237,25/4/2018 16:24
1.7839218,25/4/2018 16:27
1.3842826,25/4/2018 16:30
1.0513046,25/4/2018 16:33
0.96962935,25/4/2018 16:36
0.9764096,25/4/2018 16:39
0.90709454,25/4/2018 16:42
0.8609891,25/4/2018 16:45
0.7785182,25/4/2018 16:48
0.77203286,25/4/2018 16:51
0.7855458,25/4/2018 16:54
0.75151217,25/4/2018 16:57
0.7070532,25/4/2018 17:00
0.7057252,25/4/2018 17:03
0.65971595,25/4/2018 17:06
0.60868984,25/4/2018 17:09
0.57823586,25/4/2018 17:12
0.5091189,25/4/2018 17:15
0.46870765,25/4/2018 17:18
0.43224186,25/4/2018 17:21
0.3775369,25/4/2018 17:24
0.34329763,25/4/2018 17:27
0.28281388,25/4/2018 17:30
0.23443769,25/4/2018 17:33
0.22810297,25/4/2018 17:36
0.18844233,25/4/2018 17:39
0.17079654,25/4/2018 17:42
0.13749613,25/4/2018 17:45
0.079154484,25/4/2018 17:48
0.044837818,25/4/2018 17:51
0.01449322,25/4/2018 17:54
-0.01912092,25/4/2018 17:57
-0.022643654,25/4/2018 18:00
-0.14064093,26/4/2018 6:00
-0.14284183,26/4/2018 6:03
-0.12619019,26/4/2018 6:06
-0.107278384,26/4/2018 6:09
-0.076538175,26/4/2018 6:12
-0.057414707,26/4/2018 6:15
-0.040396374,26/4/2018 6:18
-0.034955323,26/4/2018 6:21
-0.0014201215,26/4/2018 6:24
0.009516543,26/4/2018 6:27
