P,datetime
0.030999132,25/4/2018 6:00
0.03554233,25/4/2018 6:03
0.0392097,25/4/2018 6:06
0.04717613,25/4/2018 6:09
0.06405938,25/4/2018 6:12
0.058796078,25/4/2018 6:15
0.074747235,25/4/2018 6:18
0.0927832,25/4/2018 6:21
0.107066765,25/4/2018 6:24
0.12313313,25/4/2018 6:27
0.15065843,25/4/2018 6:30
0.1578404,25/4/2018 6:33
0.19393003,25/4/2018 6:36
0.20278934,25/4/2018 6:39
0.23927705,25/4/2018 6:42
0.2529291,25/4/2018 6:45
0.27850464,25/4/2018 6:48
0.27932936,25/4/2018 6:51
0.34743446,25/4/2018 6:54
0.3834269,25/4/2018 6:57
0.3925696,25/4/2018 7:00
0.4097089,25/4/2018 7:03
0.4554409,25/4/2018 7:06
0.51219976,25/4/2018 7:09
0.5158746,25/4/2018 7:12
0.5823232,25/4/2018 7:15
0.60309374,25/4/2018 7:18
0.5177813,25/4/2018 7:21
0.47240835,25/4/2018 7:24
0.3588203,25/4/2018 7:27
0.20681338,25/4/2018 7:30
0.2194816,25/4/2018 7:33
0.19971493,25/4/2018 7:36
0.20313993,25/4/2018 7:39
0.21836212,25/4/2018 7:42
0.24589165,25/4/2018 7:45
0.3051574,25/4/2018 7:48
0.3421941,25/4/2018 7:51
0.4337531,25/4/2018 7:54
0.42138618,25/4/2018 7:57
0.25688273,25/4/2018 8:00
0.14434366,25/4/2018 8:03
0.16179478,25/4/2018 8:06
0.2784449,25/4/2018 8:09
0.3323279,25/4/2018 8:12
0.42282364,25/4/2018 8:15
0.44940996,25/4/2018 8:18
0.49284312,25/4/2018 8:21
0.61698437,25/4/2018 8:24
0.86717856,25/4/2018 8:27
1.4286515,25/4/2018 8:30
1.2441865,25/4/2018 8:33
1.3362591,25/4/2018 8:36
1.0697626,25/4/2018 8:39
0.78258187,25/4/2018 8:42
0.92930645,25/4/2018 8:45
1.053528,25/4/2018 8:48
1.1222636,25/4/2018 8:51
1.2369186,25/4/2018 8:54
2.5334215,25/4/2018 8:57
2.4496388,25/4/2018 9:00
3.2692916,25/4/2018 9:03
3.141211,25/4/2018 9:06
3.1327255,25/4/2018 9:09
3.222365,25/4/2018 9:12
3.3764837,25/4/2018 9:15
3.486071,25/4/2018 9:18
3.5159547,25/4/2018 9:21
4.179068,25/4/2018 9:24
4.327365,25/4/2018 9:27
4.170369,25/4/2018 9:30
4.0608354,25/4/2018 9:33
3.6202383,25/4/2018 9:36
3.4077096,25/4/2018 9:39
3.4401324,25/4/2018 9:42
3.2875235,25/4/2018 9:45
3.1256545,25/4/2018 9:48
2.9859846,25/4/2018 9:51
3.0954015,25/4/2018 9:54
3.1802459,25/4/2018 9:57
3.7018225,25/4/2018 10:00
4.241322,25/4/2018 10:03
3.957213,25/4/2018 10:06
3.6126277,25/4/2018 10:09
4.379652,25/4/2018 10:12
4.742341,25/4/2018 10:15
4.3004704,25/4/2018 10:18
4.7935553,25/4/2018 10:21
4.4071226,25/4/2018 10:24
4.476779,25/4/2018 10:27
4.5481453,25/4/2018 10:30
4.558135,25/4/2018 10:33
4.546683,25/4/2018 10:36
4.112142,25/4/2018 10:39
3.9769828,25/4/2018 10:42
3.8389893,25/4/2018 10:45
4.079846,25/4/2018 10:48
3.3761086,25/4/2018 10:51
2.8367913,25/4/2018 10:54
2.8627028,25/4/2018 10:57
3.1788461,25/4/2018 11:00
3.4033215,25/4/2018 11:03
3.035872,25/4/2018 11:06
2.528536,25/4/2018 11:09
2.8021302,25/4/2018 11:12
3.0176625,25/4/2018 11:15
2.9952154,25/4/2018 11:18
2.417486,25/4/2018 11:21
2.4167562,25/4/2018 11:24
3.2545052,25/4/2018 11:27
3.6992042,25/4/2018 11:30
3.8475146,25/4/2018 11:33
3.7431014,25/4/2018 11:36
3.642589,25/4/2018 11:39
3.68179,25/4/2018 11:42
3.691161,25/4/2018 11:45
3.7144816,25/4/2018 11:48
3.7972794,25/4/2018 11:51
3.9295516,25/4/2018 11:54
4.2349668,25/4/2018 11:57
4.470934,25/4/2018 12:00
4.4650726,25/4/2018 12:03
4.3800793,25/4/2018 12:06
4.222931,25/4/2018 12:09
3.652031,25/4/2018 12:12
4.125799,25/4/2018 12:15
3.033726,25/4/2018 12:18
4.1106753,25/4/2018 12:21
4.3172865,25/4/2018 12:24
4.076652,25/4/2018 12:27
2.7827172,25/4/2018 12:30
3.9901903,25/4/2018 12:33
3.9314556,25/4/2018 12:36
3.8220842,25/4/2018 12:39
3.8160596,25/4/2018 12:42
3.7700434,25/4/2018 12:45
4.095708,25/4/2018 12:48
4.3418083,25/4/2018 12:51
3.2419431,25/4/2018 12:54
3.7254345,25/4/2018 12:57
4.4232335,25/4/2018 13:00
4.6960855,25/4/2018 13:03
4.3831477,25/4/2018 13:06
4.3467107,25/4/2018 13:09
4.2860503,25/4/2018 13:12
4.467481,25/4/2018 13:15
4.1806765,25/4/2018 13:18
4.0497737,25/4/2018 13:21
4.032188,25/4/2018 13:24
4.0896297,25/4/2018 13:27
4.154118,25/4/2018 13:30
4.3756404,25/4/2018 13:33
4.444154,25/4/2018 13:36
4.3304777,25/4/2018 13:39
4.2515273,25/4/2018 13:42
4.166715,25/4/2018 13:45
4.181214,25/4/2018 13:48
4.07585,25/4/2018 13:51
3.8777263,25/4/2018 13:54
3.8587933,25/4/2018 13:57
3.8958657,25/4/2018 14:00
3.9343352,25/4/2018 14:03
4.118491,25/4/2018 14:06
3.9655452,25/4/2018 14:09
4.020826,25/4/2018 14:12
4.017662,25/4/2018 14:15
3.7674046,25/4/2018 14:18
3.4005365,25/4/2018 14:21
3.4006143,25/4/2018 14:24
3.370968,25/4/2018 14:27
3.4014215,25/4/2018 14:30
3.397732,25/4/2018 14:33
3.33049,25/4/2018 14:36
3.2195308,25/4/2018 14:39
3.3218837,25/4/2018 14:42
3.3880212,25/4/2018 14:45
3.3094387,25/4/2018 14:48
3.1931427,25/4/2018 14:51
3.1052167,25/4/2018 14:54
3.1597905,25/4/2018 14:57
3.276918,25/4/2018 15:00
3.5054061,25/4/2018 15:03
3.4778984,25/4/2018 15:06
3.2544148,25/4/2018 15:09
3.3577685,25/4/2018 15:12
3.4333673,25/4/2018 15:15
3.363289,25/4/2018 15:18
3.2701175,25/4/2018 15:21
3.0650127,25/4/2018 15:24
3.1212747,25/4/2018 15:27
3.00884,25/4/2018 15:30
2.6063743,25/4/2018 15:33
2.4370048,25/4/2018 15:36
2.4229527,25/4/2018 15:39
2.3946927,25/4/2018 15:42
2.4899027,25/4/2018 15:45
2.418792,25/4/2018 15:48
2.3977993,25/4/2018 15:51
2.3735573,25/4/2018 15:54
2.268766,25/4/2018 15:57
2.2206883,25/4/2018 16:00
2.270409,25/4/2018 16:03
2.2274773,25/4/2018 16:06
2.0792725,25/4/2018 16:09
1.867278,25/4/2018 16:12
1.6532216,25/4/2018 16:15
1.2645444,25/4/2018 16:18
1.2705617,25/4/2018 16:21
1.4119785,25/4/2018 16:24
1.6432123,25/4/2018 16:27
1.2689505,25/4/2018 16:30
1.0067701,25/4/2018 16:33
0.9028046,25/4/2018 16:36
0.9316117,25/4/2018 16:39
0.87847334,25/4/2018 16:42
0.84838885,25/4/2018 16:45
0.7886792,25/4/2018 16:48
0.750297,25/4/2018 16:51
0.7857081,25/4/2018 16:54
0.7454087,25/4/2018 16:57
0.7151602,25/4/2018 17:00
0.70082635,25/4/2018 17:03
0.673877,25/4/2018 17:06
0.6221704,25/4/2018 17:09
0.60447025,25/4/2018 17:12
0.5482186,25/4/2018 17:15
0.5164538,25/4/2018 17:18
0.48884934,25/4/2018 17:21
0.44821337,25/4/2018 17:24
0.4184995,25/4/2018 17:27
0.48104024,25/4/2018 17:30
0.33025762,25/4/2018 17:33
0.32797557,25/4/2018 17:36
0.31781772,25/4/2018 17:39
0.28067657,25/4/2018 17:42
0.251517,25/4/2018 17:45
0.20209861,25/4/2018 17:48
0.18287545,25/4/2018 17:51
0.15409578,25/4/2018 17:54
0.12000853,25/4/2018 17:57
0.13786077,25/4/2018 18:00
0.034148935,26/4/2018 6:00
0.032909743,26/4/2018 6:03
0.035892606,26/4/2018 6:06
0.05845115,26/4/2018 6:09
0.058357235,26/4/2018 6:12
0.06535509,26/4/2018 6:15
0.084085084,26/4/2018 6:18
0.11695038,26/4/2018 6:21
0.113380656,26/4/2018 6:24
0.12271908,26/4/2018 6:27
0.13717017,26/4/2018 6:30
0.16001594,26/4/2018 6:33
0.144616,26/4/2018 6:36
0.18539345,26/4/2018 6:39
0.21194054,26/4/2018 6:42
0.24727078,26/4/2018 6:45
0.21742612,26/4/2018 6:48
0.3077725,26/4/2018 6:51
0.32832137,26/4/2018 6:54
