P,datetime
-0.085147515,25/4/2018 6:00
-0.109343246,25/4/2018 6:03
-0.10533545,25/4/2018 6:06
-0.06283499,25/4/2018 6:09
-0.061401725,25/4/2018 6:12
-0.03335134,25/4/2018 6:15
-0.01063185,25/4/2018 6:18
0.0054259016,25/4/2018 6:21
0.045060076,25/4/2018 6:24
0.042738736,25/4/2018 6:27
0.03259522,25/4/2018 6:30
0.060528785,25/4/2018 6:33
0.095200635,25/4/2018 6:36
0.10106347,25/4/2018 6:39
0.13587607,25/4/2018 6:42
0.15149619,25/4/2018 6:45
0.17573127,25/4/2018 6:48
0.19410014,25/4/2018 6:51
0.254335,25/4/2018 6:54
0.28731763,25/4/2018 6:57
0.2930104,25/4/2018 7:00
0.34346128,25/4/2018 7:03
0.39954165,25/4/2018 7:06
0.43095794,25/4/2018 7:09
0.46918756,25/4/2018 7:12
0.5159484,25/4/2018 7:15
0.49911204,25/4/2018 7:18
0.42984667,25/4/2018 7:21
0.36917126,25/4/2018 7:24
0.27772182,25/4/2018 7:27
0.09908204,25/4/2018 7:30
0.1040292,25/4/2018 7:33
0.09517522,25/4/2018 7:36
0.12212936,25/4/2018 7:39
0.1233845,25/4/2018 7:42
0.17642106,25/4/2018 7:45
0.22707857,25/4/2018 7:48
0.26057944,25/4/2018 7:51
0.3234789,25/4/2018 7:54
0.35177794,25/4/2018 7:57
0.1674476,25/4/2018 8:00
0.056887485,25/4/2018 8:03
0.045240186,25/4/2018 8:06
0.1934517,25/4/2018 8:09
0.26059,25/4/2018 8:12
0.3566391,25/4/2018 8:15
0.39752918,25/4/2018 8:18
0.45625478,25/4/2018 8:21
0.5765266,25/4/2018 8:24
0.80314034,25/4/2018 8:27
1.3906329,25/4/2018 8:30
1.2003772,25/4/2018 8:33
1.2848988,25/4/2018 8:36
0.9969383,25/4/2018 8:39
0.7181253,25/4/2018 8:42
0.86744124,25/4/2018 8:45
0.9986977,25/4/2018 8:48
1.0653316,25/4/2018 8:51
1.1799388,25/4/2018 8:54
2.4934793,25/4/2018 8:57
2.455534,25/4/2018 9:00
3.2068243,25/4/2018 9:03
3.0618968,25/4/2018 9:06
3.0737736,25/4/2018 9:09
3.2072518,25/4/2018 9:12
3.3331096,25/4/2018 9:15
3.4891706,25/4/2018 9:18
3.514192,25/4/2018 9:21
4.164218,25/4/2018 9:24
4.3185425,25/4/2018 9:27
4.1551795,25/4/2018 9:30
4.0489984,25/4/2018 9:33
3.6032157,25/4/2018 9:36
3.4031637,25/4/2018 9:39
